Season,Tm,Player,Label
2020-21,3rd,Bradley Beal,1
2019-20,3rd,Ben Simmons,1
2018-19,3rd,Kemba Walker,1
2017-18,3rd,Stephen Curry,1
2016-17,3rd,John Wall,1
2015-16,3rd,Klay Thompson,1
2014-15,3rd,Klay Thompson,1
2013-14,3rd,Goran Dragić,1
2012-13,3rd,James Harden,1
2011-12,3rd,Rajon Rondo,1
2010-11,3rd,Manu Ginóbili,1
2009-10,3rd,Joe Johnson,1
2008-09,3rd,Chauncey Billups,1
2007-08,3rd,Manu Ginóbili,1
2006-07,3rd,Chauncey Billups,1
2005-06,3rd,Gilbert Arenas,1
2004-05,3rd,Gilbert Arenas,1
2003-04,3rd,Baron Davis,1
2002-03,3rd,Stephon Marbury,1
2001-02,3rd,Steve Nash,1
2000-01,3rd,Ray Allen,1
2023-24,3rd,Tyrese Haliburton,1
2022-23,3rd,Damian Lillard,1
2021-22,3rd,Trae Young,1
2020-21,3rd,Kyrie Irving,1
2019-20,3rd,Russell Westbrook,1
2018-19,3rd,Russell Westbrook,1
2017-18,3rd,Victor Oladipo,1
2016-17,3rd,DeMar DeRozan,1
2015-16,3rd,Kyle Lowry,1
2014-15,3rd,Kyrie Irving,1
2013-14,3rd,Damian Lillard,1
2012-13,3rd,Dwyane Wade,1
2011-12,3rd,Dwyane Wade,1
2010-11,3rd,Chris Paul,1
2009-10,3rd,Brandon Roy,1
2008-09,3rd,Tony Parker,1
2007-08,3rd,Tracy McGrady,1
2006-07,3rd,Dwyane Wade,1
2005-06,3rd,Allen Iverson,1
2004-05,3rd,Kobe Bryant,1
2003-04,3rd,Michael Redd,1
2002-03,3rd,Steve Nash,1
2001-02,3rd,Paul Pierce,1
2000-01,3rd,Gary Payton,1
